Department,PrjInvId,Project Id,Person,NetId,Role,Start,End,Cost,Type,Title
,64582-43149,64582,"HALABY, STEVE L",SLH278,KP,2012,2017,1592513,GRANT,REGULATION OF ARF GTPASE ACTIVATION AT THE TRANS-GOLGI NETWORK
,64582-24207,64582,"FROMME, CHRIS",JCF14,PI,2012,2017,1592513,GRANT,REGULATION OF ARF GTPASE ACTIVATION AT THE TRANS-GOLGI NETWORK
,64582-3815,64582,"BRETSCHER, ANTHONY P",APB5,KP,2012,2017,1592513,GRANT,REGULATION OF ARF GTPASE ACTIVATION AT THE TRANS-GOLGI NETWORK
,64588-2415,64588,"SIMPSON, KENNY",KWS5,PI,2012,2016,244467,GRANT,"MECHANISMS OF HOST-BACTERIAL INTERACTIONS, ILEITIS AND GRANULOMA FORMATION IN AGR2-/- MICE"
,64677-4203,64677,"FELIPPE, MARIA JULIA BEVILAQUA",MBF6,PI,2012,2016,397202,GRANT,ADVANCING NEONATAL VACCINATION STRATEGIES: A MOLECULAR APPROACH TO MONITOR IMMUNE RESPONSES
,64677-12887,64677,"INGRAM, REBECCA LYNN TALLMADGE",RLT8,CO,2012,2016,397202,GRANT,ADVANCING NEONATAL VACCINATION STRATEGIES: A MOLECULAR APPROACH TO MONITOR IMMUNE RESPONSES
,64700-16388,64700,"THOMPSON, MARGRET SARA",MST42,KP,2012,2016,494000,GRANT,KETOSIS AND INSULIN RESISTANCE IN TRANSITION DAIRY COWS: CHARACTERIZATION AND CONTROL MEASURES TO INCREASE HEALTH AND PRODUCTION
,64700-5124,64700,"NYDAM, DARYL V",DVN2,PI,2012,2016,494000,GRANT,KETOSIS AND INSULIN RESISTANCE IN TRANSITION DAIRY COWS: CHARACTERIZATION AND CONTROL MEASURES TO INCREASE HEALTH AND PRODUCTION
,64700-931,64700,"OVERTON, THOMAS R",TRO2,CO,2012,2016,494000,GRANT,KETOSIS AND INSULIN RESISTANCE IN TRANSITION DAIRY COWS: CHARACTERIZATION AND CONTROL MEASURES TO INCREASE HEALTH AND PRODUCTION
,64700-2848,64700,"WAKSHLAG, JOSEPH",JW37,CO,2012,2016,494000,GRANT,KETOSIS AND INSULIN RESISTANCE IN TRANSITION DAIRY COWS: CHARACTERIZATION AND CONTROL MEASURES TO INCREASE HEALTH AND PRODUCTION
,64758-16347,64758,"HESS, PETER",PGH25,PI,2012,2016,749899,GRANT,ESTIMATES OF EXTREME AIR QUALITY EVENTS USING A HIERARCHY OF MODELS: PRESENT AND FUTURE
,64758-2587,64758,"SAMORODNITSKY, GENNADY",GS18,CO,2012,2016,749899,GRANT,ESTIMATES OF EXTREME AIR QUALITY EVENTS USING A HIERARCHY OF MODELS: PRESENT AND FUTURE
,64758-15328,64758,"MAHOWALD, NATALIE",NMM63,CO,2012,2016,749899,GRANT,ESTIMATES OF EXTREME AIR QUALITY EVENTS USING A HIERARCHY OF MODELS: PRESENT AND FUTURE
,64824-10404,64824,"O'BRIEN, KIMBERLY",KOO4,PI,2012,2016,489367,GRANT,VITAMIN D STATUS IMPACTS INFLAMMATION AND RISK OF INFECTIONS DURING PREGNANCY
,64878-4804,64878,"PARKER-DUNCANSON, CAROL",CMP10,KP,2012,2017,363901,COOP,WEILL CLINICAL AND TRANSLATIONAL SCIENCE CENTER - CERO
,64878-2253,64878,"TIFFANY, JENNIFER S",JST5,PI,2012,2017,363901,COOP,WEILL CLINICAL AND TRANSLATIONAL SCIENCE CENTER - CERO
,64936-2273,64936,"STOVER, PATRICK J",PJS13,PI,2012,2017,1283065,GRANT,NUTRITION TRAINING
