,"71599-3772","71599","HEDGE, ALAN","ALAN","","HEDGE","AH29","CO","Design and Environmental Analysis","0327","3772","71599","A001","3C DESIGN TOOLS FOR DESIGNING AND ENSURING CONNECTED, COLLABORATIVE AND CREATIVE WORKPLACES","0327","Design and Environmental Analysis","AMERICAN SOC INTERIOR DESIGN FDN","817","2014","2016","55480","GRANT","","","ASID FDN","","","Design and Environmental Analysis","ASAP"
,"60923-4034","60923","ABRUNA, HECTOR D","HECTOR","D","ABRUNA","HDA1","PI","Chemistry and Chemical Biology","2158","4034","60923","A001","CORNELL ENERGY FRONTIER RESEARCH CENTER - NYSTAR","3428","Energy Materials Center at Cornell","NYS SCIENCE, TECHNOLOGY AND ACADEMIC RESEARCH","3868","2009","2017","1385222","CONTRACT","","","NYS","NYSTAR","","Energy Materials Center at Cornell","ASAP"
,"72554-2068","72554","BROWN, WARREN A","WARREN","A","BROWN","WAB4","CO","Cornell Inst for Social & Econ Research","3303","2068","72554","A001","DATA CUSTODIAL ACTIVITIES FOR SCIENTIFIC USE FILES","3303","Cornell Inst for Social & Econ Research","INSTITUTE FOR EMPLOYMENT RESEARCH (IAB)","39521","2014","2015","165149","CONTRACT","","","INSTITUTE FOR EMPLOYMENT RESEA","","","Cornell Inst for Social & Econ Research","ASAP"
,"62112-3128","62112","ABOWD, JOHN M","JOHN","M","ABOWD","JMA7","CO","Labor Economics","0522","3128","62112","A001","SYNTHETIC DATA USER TESTING AND DISSEMINATION","05FC","0568 Other Funds","NATL SCIENCE FOUNDATION","2244","2010","2015","252465","GRANT","","","NSF","","","Industrial & Labor Relations Ext Orgs","ASAP"
,"71940-25728","71940","OXFORD, EVA M.","EVA","M.","OXFORD","EMO59","FE","Clinical Sciences","0422","25728","71940","A001","IDENTIFICATION OF GENETIC MUTATIONS ASSOCIATED WITH THE DEVELOPMENT OF DEGENERATIVE MITRAL VALVE DISEASE IN THE SMALL BREED DOG","0427","Faculty Managed","AMERICAN COLLEGE OF VETERINARY INTERNAL MEDICINE FOUNDATION","24176","2014","2015","8500","GRANT","","","ACVIM","ACVIM FDN","","Clinical Sciences","ASAP"
Chemical and Biomolecular Engineering,"72633-38309","72633","PASZEK, MATTHEW J","MATTHEW","J","PASZEK","MJP31","KP","Chemical & Biomolecular Engineering","2360","38309","72633","A001","MRI: ACQUISITION OF A CRYOGENIC, ABERRATION-CORRECTED SCANNING TRANSMISSION ELECTRON MICROSCOPE FOR ADVANCED MATERIALS RESEARCH AND EDUCATION","2371","Applied & Engineering Physics","NATL SCIENCE FOUNDATION","2244","2014","2016","2698364","GRANT","","","NSF","","","Applied & Engineering Physics","ASAP"
,"66231-3810","66231","HAMMER, DAVID A","DAVID","A","HAMMER","DAH5","CO","Electrical & Computer Engineering","2370","3810","66231","A001","THE DYNAMICS OF HIGH ENERGY DENSITY PLASMAS IN RADIAL FOIL CONFIGURATIONS.","2390","Lab of Plasma Studies","CHICAGO OPERATIONS OFFICE DOE","1289","2012","2015","675000","GRANT","","","DOE","DOE CHICAGO","","Lab of Plasma Studies","APA"
,"60683-24547","60683","BROSNAHAN, MARGARET","MARGARET","","BROSNAHAN","MMB263","PI","Baker Institute for Animal Health","0402","24547","60683","A001","IMMUNE TOLERANCE TO SERIAL TROPHOBLAST TRANSPLANTS","0407","Faculty Managed","NATL INST OF CHILD HEALTH & HUMAN DEVELOPMENT, NIH","1208","2010","2015","516632","GRANT","","","DHHS","NIH","NIH NICHD","Baker Institute for Animal Health","ASAP"
Applied and Engineering Physics,"58459-2369","58459","CRAIGHEAD, HAROLD G","HAROLD","G","CRAIGHEAD","HGC1","CO","Applied & Engineering Physics","2371","2369","58459","A001","DEVELOPMENT OF HIGH THROUGHPUT APTAMER-BASED PROTEIN CAPTURE/DETECTION ASSAYS TOWARDS COMPREHENSIVE ANALYSIS OF HUMAN PROTEOME","01G7","CALS MBG Uncategorized","NATL INST OF HEALTH DHHS","476","2009","2015","3448708","GRANT","","","DHHS","NIH","","CALS Molecular Biology & Genetics","ASAP"
,"73110-12748","73110","HOFFSTAETTER, GEORG","GEORG","","HOFFSTAETTER","GH77","PI","Physics","2186","12748","73110","A001","LCLS II HIGH CHARGE INJECTOR DESIGN","3455","Cornell Lab Accelerator Sciences & Ed","STANFORD UNIVERSITY","2769","2014","2015","1474162","CONTRACT","483","DEPARTMENT OF ENERGY","STANFORD U","","","Cornell Lab Accelerator Sciences & Ed","ASAP"
